"","caseid"
"293","       18 49  4"
"294","       18 52  2"
"295","       18 56  2"
"296","       18 62  2"
"297","       18 73  3"
"298","       18 73  5"
"299","       18 76  2"
"300","       21  8  2"
"301","       21 13  2"
"302","       21 34  2"
"303","       21 39  2"
"304","       21 47  2"
"305","       21 47  3"
"306","       21 52  2"
"307","       21 55  1"
"308","       22 26  2"
"309","       22 27  3"
"310","       22 28  2"
"311","       22 29  2"
"312","       22 29  9"
"313","       22 32  6"
"314","       22 50  2"
"315","       22 51  2"
"316","       22 52  2"
"317","       22 54  2"
"318","       22 54  5"
"319","       22 55  2"
"320","       22 55  3"
"321","       22 55  4"
"322","       22 55  6"
"323","       22 56  2"
"324","       22 81  2"
"325","       22 82  2"
"326","       22 83  2"
"327","       22 84  2"
"328","       22 85  4"
"329","       22 87  2"
"330","       22 88  2"
"331","       22105  1"
"332","       22106  2"
"333","       22107  3"
"334","       22108  1"
"335","       22110  2"
"336","       22111  2"
"337","       22112  2"
"338","       22137  2"
"339","       22138  3"
"340","       22140  2"
"341","       22140  3"
"342","       22142  2"
"343","       22143  2"
"344","       22144  2"
"345","       23  9  2"
"346","       23  9  4"
"347","       23 10  2"
"348","       23 11  2"
"349","       23 13  2"
"350","       23 15  2"
"351","       23 34  2"
"352","       23 34  3"
"353","       23 34  5"
"354","       23 35  2"
"355","       23 37  2"
"356","       23 38  6"
"357","       23 39  2"
"358","       23 40  2"
"359","       23 40  7"
"360","       23 57  2"
"361","       23 60  2"
"362","       23 61  6"
"363","       23 62  2"
"364","       23 64  2"
"365","       23 81  2"
"366","       23 82  4"
"367","       23 83  2"
"368","       23 84  2"
"369","       23 86  2"
"370","       23 87  2"
"371","       23 88  2"
"372","       23 88  6"
"373","       23 88  7"
"374","       23 98  2"
"375","       23 98  3"
"376","       23 99  4"
"377","       23100  2"
"378","       23101  2"
"379","       23101  3"
"380","       23102  2"
"381","       23103  2"
"382","       26  1  2"
"383","       26  3  3"
"384","       26  4  2"
"385","       26  4  8"
"386","       26  5  4"
"387","       26  6  2"
"388","       26  7  2"
"389","       26  7  3"
"390","       26  8  2"
"391","       26  8  3"
"392","       26 25  2"
"393","       26 26  2"
"394","       26 29  2"
"395","       26 32  2"
"396","       26 49  2"
"397","       26 51  2"
"398","       26 51  3"
"399","       26 52  2"
"400","       26 53  2"
"401","       26 54  2"
"402","       26 55  3"
"403","       26 56  2"
"404","       26 72  2"
"405","       26 75  2"
"406","       26 75  3"
"407","       26 75  9"
"408","       26 77  2"
"409","       26 77  4"
"410","       26 79  2"
"411","       26 96  2"
"412","       26 97  2"
"413","       26 98  2"
"414","       26 99  2"
"415","       26100  2"
"416","       26101  3"
"417","       26101  7"
"418","       26102  4"
"419","       26103  2"
"420","       27 10  2"
"421","       27 11  2"
"422","       27 12  2"
"423","       27 12  3"
"424","       27 13  2"
"425","       27 15  4"
"426","       27 16  2"
"427","       27 34  2"
"428","       27 35  2"
"429","       27 37  2"
"430","       27 37  3"
"431","       27 39  2"
"432","       27 57  2"
"433","       27 60  3"
"434","       27 62  2"
"435","       27 63  2"
"436","       27 73  2"
"437","       27 74  2"
"438","       27 75  3"
"439","       27 76  2"
"440","       27 80  2"
"441","       28  1  1"
"442","       28  3  3"
"443","       28  5  2"
"444","       28  6  2"
"445","       28  6  3"
"446","       28  8  2"
"447","       28  8  3"
"448","       28  8  4"
"449","       28 33  2"
"450","       28 35  2"
"451","       28 36  2"
"452","       28 36  3"
"453","       28 38  1"
"454","       28 39  4"
"455","       28 40  3"
"456","       28 65  2"
"457","       28 67  2"
"458","       28 69  2"
"459","       28 70  2"
"460","       28 71  2"
"461","       28 72  2"
"462","       28 99  2"
"463","       28101  2"
"464","       29  6  2"
"465","       29  7  6"
"466","       29  7  7"
"467","       29  7 11"
"468","       29  8  2"
"469","       29 41  2"
"470","       29 42  1"
"471","       29 44  1"
"472","       29 45  4"
"473","       29 46  2"
"474","       29 47  2"
"475","       29 73  2"
"476","       29 74  2"
"477","       29 75  4"
"478","       29 76  2"
"479","       29 77  2"
"480","       29 77  3"
"481","       29 78  2"
"482","       29 79  2"
"483","       29 79  3"
"484","       29 80  2"
"485","       29105  2"
"486","       29107  1"
"487","       29109  2"
"488","       29111  3"
"489","       29112  2"
"490","       29145  2"
"491","       29147  2"
"492","       29148  2"
"493","       29148  3"
"494","       29149  2"
"495","       29149  5"
"496","       29150  2"
"497","       31 18  2"
"498","       31 19  2"
"499","       31 19 10"
"500","       31 20  2"
"501","       31 21  2"
"502","       31 22  2"
"503","       31 24  1"
"504","       31 24  2"
"505","       31 49  2"
"506","       31 50  2"
"507","       31 50  3"
"508","       31 51  2"
"509","       31 56  2"
"510","       31 73  2"
"511","       31 74  2"
"512","       31 75  2"
"513","       31 76  2"
"514","       31 77  2"
"515","       31 78  2"
"516","       31 79  2"
"517","       31107  1"
"518","       31109  2"
"519","       31112  2"
"520","       31138  2"
"521","       31139  2"
"522","       31140  2"
"523","       31142  2"
"524","       31143  1"
"525","       32  9  2"
"526","       32 10  1"
"527","       32 11  3"
"528","       32 13  7"
"529","       32 15  2"
"530","       32 16  2"
"531","       32 33  2"
"532","       32 34  2"
"533","       32 35  2"
"534","       32 36  2"
"535","       32 37  2"
"536","       32 40  2"
"537","       32 65  2"
"538","       32 65  4"
"539","       32 65  9"
"540","       32 66  2"
"541","       32 67  4"
"542","       32 67  8"
"543","       32 68  2"
"544","       32 69  3"
"545","       32 70  2"
"546","       32 70  3"
"547","       32 70  8"
"548","       32 72  2"
"549","       32 89  2"
"550","       32 89  3"
"551","       32 91  2"
"552","       32 92  2"
"553","       32 93  2"
"554","       32 93  4"
"555","       32 93  5"
"556","       32 94  1"
"557","       32 94  2"
"558","       32 94  3"
"559","       32 95  2"
"560","       32114  3"
"561","       32114  4"
"562","       32116  2"
"563","       32117  2"
"564","       32118  3"
"565","       32118  4"
"566","       32119  2"
"567","       32120  3"
"568","       33 25  2"
"569","       33 26  2"
"570","       33 27  2"
"571","       33 30  2"
"572","       33 31  2"
"573","       33 66  1"
"574","       33 67  2"
"575","       33 68  2"
"576","       33 69  2"
"577","       33 70  2"
"578","       33 71  2"
"579","       36  1  2"
"580","       36  2  2"
"581","       36  2  5"
"582","       36  4  2"
"583","       36  4  5"
"584","       36  5  2"
"585","       36  7  2"
"586","       36  7  3"
"587","       36  8  2"
"588","       36 42  2"
"589","       36 43  2"
"590","       36 44  2"
"591","       36 47  2"
"592","       36 50  2"
"593","       37  1  2"
"594","       37  1  4"
"595","       37  2  2"
"596","       37  4  2"
"597","       37  5  2"
"598","       37  6  2"
"599","       37  7  3"
"600","       37  8  2"
"601","       37 25  2"
"602","       37 25  3"
"603","       37 27  2"
"604","       37 27  3"
"605","       37 29  1"
"606","       37 31  2"
"607","       37 50  2"
"608","       37 51  2"
"609","       37 53  2"
"610","       37 54  2"
"611","       37 56  2"
"612","       37 56  3"
"613","       37 73  6"
"614","       37 74  3"
"615","       37 74  8"
"616","       37 75  2"
"617","       37 76  2"
"618","       37 77  5"
"619","       37 79  2"
"620","       37 97  2"
"621","       37 98  1"
"622","       37 98  3"
"623","       37101  2"
"624","       37101  3"
"625","       37102  2"
"626","       37103  3"
"627","       37103  7"
"628","       37104  2"
"629","       38  1  2"
"630","       38  2  2"
"631","       38  4  2"
"632","       38  4  3"
"633","       38  6  2"
"634","       38  7  2"
"635","       38  7 10"
"636","       38 25  2"
"637","       38 25  3"
"638","       38 25  4"
"639","       38 26  2"
"640","       38 27  2"
"641","       38 27  5"
"642","       38 28  2"
"643","       38 30  2"
"644","       38 49  2"
"645","       38 50  2"
"646","       38 51  1"
"647","       38 52  2"
"648","       38 53  2"
"649","       38 54  1"
"650","       38 55  2"
"651","       38 56  4"
"652","       38 56  5"
"653","       38 73  2"
"654","       38 74  5"
"655","       38 75  2"
"656","       38 75  7"
"657","       38 76  4"
"658","       38 76  6"
"659","       38 77  2"
"660","       38 78  2"
"661","       38 80  2"
"662","       38 80  4"
"663","       41 11  2"
"664","       41 12  2"
"665","       41 13  3"
"666","       41 34  5"
"667","       41 35  2"
"668","       41 57  4"
"669","       41 57  6"
"670","       41 57 10"
"671","       41 58  2"
"672","       41 58  5"
"673","       41 59  3"
"674","       41 60  2"
"675","       41 61  2"
"676","       41 61  5"
"677","       41 61  6"
"678","       41 62  7"
"679","       41 63  2"
"680","       41 82  2"
"681","       41 83  2"
"682","       41 83  4"
"683","       41 85  6"
"684","       41 87  2"
"685","       42 10  2"
"686","       42 11  2"
"687","       42 12  2"
"688","       42 13  2"
"689","       42 14  2"
"690","       42 14  8"
"691","       42 15  2"
"692","       42 16  2"
"693","       42 33  2"
"694","       42 34  2"
"695","       42 34  3"
"696","       42 36  1"
"697","       42 36  7"
"698","       42 37  2"
"699","       42 39  2"
"700","       42 40  2"
"701","       42 57  2"
"702","       42 60  1"
"703","       42 61  2"
"704","       42 61  3"
"705","       42 63  2"
"706","       42 64  2"
"707","       42 81  2"
"708","       42 82  2"
"709","       42 83  2"
"710","       42 85  2"
"711","       42 86  2"
"712","       42 87  2"
"713","       42 87  3"
"714","       42 87  4"
"715","       42 88  2"
"716","       42107  4"
"717","       42108  2"
"718","       42109  2"
"719","       42110  2"
"720","       42111  2"
"721","       43  9  2"
"722","       43 12  2"
"723","       43 13  1"
"724","       43 15  2"
"725","       43 16  2"
"726","       43 17  2"
"727","       43 41  2"
"728","       43 42  2"
"729","       43 43  4"
"730","       43 43  5"
"731","       43 43 10"
"732","       43 44  2"
"733","       43 44  3"
"734","       43 45  2"
"735","       43 46  1"
"736","       43 46  3"
"737","       43 47  2"
"738","       43 47  3"
"739","       43 48  2"
"740","       43 49  2"
"741","       43 65  2"
"742","       43 65  5"
"743","       43 66  2"
"744","       43 68  2"
"745","       43 69  4"
"746","       43 69  5"
"747","       43 70  2"
"748","       43 97  3"
"749","       43 97  4"
"750","       43 98  4"
"751","       43 99  2"
"752","       43101  2"
"753","       43103  4"
"754","       43103  6"
"755","       44 17  2"
"756","       44 18  2"
"757","       44 20  2"
"758","       44 21  6"
"759","       44 23  2"
"760","       44 24  2"
"761","       44 24  4"
"762","       44 24  7"
"763","       44 42  2"
"764","       44 42  7"
"765","       44 43  2"
"766","       44 45  2"
"767","       44 45  3"
"768","       44 46  2"
"769","       44 47  2"
"770","       44 73  2"
"771","       44 74  2"
"772","       44 76  2"
"773","       44 76  3"
"774","       44 76  9"
"775","       44 77  3"
"776","       44 78  2"
"777","       44 79  2"
"778","       44 80  3"
"779","       44 98  1"
"780","       44100  5"
"781","       44102  2"
"782","       44103  2"
"783","       46  9  7"
"784","       46 10  2"
"785","       46 11  2"
"786","       46 11  4"
"787","       46 13  2"
"788","       46 13  4"
"789","       46 14  2"
"790","       46 14  3"
"791","       46 25  4"
"792","       46 26  2"
"793","       46 27  2"
"794","       46 27  3"
"795","       46 27  4"
"796","       46 27  8"
"797","       46 28  2"
"798","       46 29  2"
"799","       46 32  2"
"800","       46 49  1"
"801","       46 52  2"
"802","       46 53  2"
"803","       46 55  5"
"804","       46 75  3"
"805","       46 75  6"
"806","       46 76  2"
"807","       46 78  2"
"808","       46 79  2"
"809","       46 89  2"
"810","       46 89  3"
"811","       46 91  2"
"812","       46 93  2"
"813","       46 94  2"
"814","       46 94  3"
"815","       46 95  2"
"816","       46 96  2"
"817","       47  9  7"
"818","       47 11  2"
"819","       47 12  2"
"820","       47 13  2"
"821","       47 14  3"
"822","       47 14  4"
"823","       47 15  2"
"824","       47 17  7"
"825","       47 17  9"
"826","       47 33  2"
"827","       47 33  3"
"828","       47 35  2"
"829","       47 36  2"
"830","       47 37  2"
"831","       47 38  5"
"832","       47 40  2"
"833","       47 41  2"
"834","       47 41  3"
"835","       47 60  2"
"836","       47 61  2"
"837","       48 10  2"
"838","       48 11  4"
"839","       48 12  2"
"840","       48 13  2"
"841","       48 13  3"
"842","       48 14  2"
"843","       48 15  2"
"844","       48 16  3"
"845","       48 35  2"
"846","       48 36  2"
"847","       48 37  2"
"848","       48 38  2"
"849","       48 39  2"
"850","       48 57  2"
"851","       48 58  2"
"852","       48 59  3"
"853","       48 60  3"
"854","       48 60  6"
"855","       48 60  8"
"856","       48 61  4"
"857","       48 62  2"
"858","       48 63  2"
"859","       48 63  3"
"860","       48 64  2"
"861","       48 81  2"
"862","       48 82  2"
"863","       48 82  3"
"864","       48 82  8"
"865","       48 82 13"
"866","       48 83  2"
"867","       48 84  4"
"868","       48 85  2"
"869","       48 85  3"
"870","       48 85  4"
"871","       48 86  2"
"872","       48 86  3"
"873","       48 87  2"
"874","       48 87  4"
"875","       48 88  2"
"876","       48 88  3"
"877","       48105  2"
"878","       48106  2"
"879","       48107  2"
"880","       48108  2"
"881","       48108  6"
"882","       48109  1"
"883","       48110  4"
"884","       48112  2"
"885","       48112  5"
"886","       51 14  2"
"887","       51 20  3"
"888","       51 20  4"
"889","       51 26  2"
"890","       51 32  2"
"891","       51 38  1"
"892","       51 38  3"
"893","       51 38  4"
"894","       51 50  2"
"895","       51 50  3"
"896","       51 50  5"
"897","       51 56  1"
"898","       51 56  6"
"899","       51 62  2"
"900","       51 62  3"
"901","       51 68  3"
"902","       51 80  1"
"903","       51 86  1"
"904","       51 98  1"
"905","       51 98  8"
"906","       51104  2"
"907","       52  1  2"
"908","       52  1  4"
"909","       52  7  2"
"910","       52 13  2"
"911","       52 25  5"
"912","       52 25  6"
"913","       52 31  2"
"914","       52 43  3"
"915","       52 48  1"
"916","       52 60  2"
"917","       52 84  2"
"918","       52 84  3"
"919","       53  1  3"
"920","       53  1  4"
"921","       53  1  5"
"922","       53  7  3"
"923","       53 12  4"
"924","       53 17  2"
"925","       53 23  2"
"926","       53 34  2"
"927","       53 34  5"
"928","       53 39  1"
"929","       53 50  2"
"930","       53 55  2"
"931","       53 72  2"
"932","       53 77  3"
"933","       53 77  4"
"934","       53 77  6"
"935","       53 82  2"
"936","       53 88  2"
"937","       53 93  3"
"938","       53 99  2"
"939","       54  2  2"
"940","       54  2  3"
"941","       54  2  4"
"942","       54  2  5"
"943","       54  7  2"
"944","       54 12  2"
"945","       54 12  3"
"946","       54 21  2"
"947","       54 26  2"
"948","       54 30  2"
"949","       54 35  2"
"950","       54 44  2"
"951","       54 44  3"
"952","       54 44  5"
"953","       54 49  2"
"954","       54 63  2"
"955","       54 68  2"
"956","       54 72  2"
"957","       54 77  4"
"958","       54 82  1"
"959","       54 82  2"
"960","       54 82  4"
"961","       54 86  2"
"962","       54 86  4"
"963","       54 91  3"
"964","       54 96  2"
"965","       54124  2"
"966","       54124  3"
"967","       54128  2"
"968","       54128  3"
"969","       54128  4"
"970","       54133  2"
"971","       54142  2"
"972","       54147  2"
"973","       54147  3"
"974","       54152  1"
"975","       54156  2"
"976","       54156  3"
"977","       54156  4"
"978","       54166  2"
"979","       56 42  6"
"980","       56 42  7"
"981","       56 48  2"
"982","       56 48  3"
"983","       56 48  8"
"984","       56 55  2"
"985","       56 61  1"
"986","       56 61  2"
"987","       56 68  2"
"988","       56 68  3"
"989","       56 68  4"
"990","       56 68  5"
"991","       56 80  2"
"992","       56 80  4"
"993","       56 93  2"
"994","       56 93  3"
"995","       56100  2"
"996","       56100  3"
"997","       57  2  1"
"998","       57  7  1"
"999","       57  7  3"
"1000","       57 13  2"
"1001","       57 18  2"
"1002","       57 18  3"
"1003","       57 30  2"
"1004","       57 30  3"
"1005","       57 41  2"
"1006","       57 52  2"
"1007","       57 58  3"
"1008","       57 64  2"
"1009","       57 64  5"
"1010","       57 69  2"
"1011","       57 75  2"
"1012","       57 86  1"
"1013","       57 86  3"
"1014","       57 98  2"
"1015","       57103  2"
"1016","       57109  3"
"1017","       58  2  2"
"1018","       58  7  2"
"1019","       58 11  3"
"1020","       58 18  2"
"1021","       58 20  2"
"1022","       58 22  1"
"1023","       58 25  4"
"1024","       58 25  5"
"1025","       58 25  7"
"1026","       58 27  2"
"1027","       58 31  1"
"1028","       58 34  2"
"1029","       58 38  2"
"1030","       58 40  2"
"1031","       58 45  2"
"1032","       58 47  2"
"1033","       58 52  4"
"1034","       58 54  2"
"1035","       58 61  2"
"1036","       58 63  2"
"1037","       58 63  4"
"1038","       58 63  6"
"1039","       58 67  5"
"1040","       58 67  7"
"1041","       58 70  3"
"1042","       58 72  2"
"1043","       58 74  1"
"1044","       58 76  2"
"1045","       58 79  2"
"1046","       58 81  2"
"1047","       58 83  2"
"1048","       58 83  3"
"1049","       58 83  6"
"1050","       58 85  2"
"1051","       58 88  2"
"1052","       61  2  2"
"1053","       61  4  2"
"1054","       61  4  4"
"1055","       61  4  6"
"1056","       61 10  4"
"1057","       61 14  2"
"1058","       61 16  2"
"1059","       61 16  5"
"1060","       61 18  2"
"1061","       61 18  3"
"1062","       61 20  2"
"1063","       61 24  2"
"1064","       61 24  4"
"1065","       61 26  1"
"1066","       61 26  2"
"1067","       61 31  3"
"1068","       61 31  4"
"1069","       61 31  6"
"1070","       61 33  2"
"1071","       61 35  1"
"1072","       61 35  3"
