"","caseid"
"8343","      526112  2"
"8344","      526112  4"
"8345","      526116  2"
"8346","      526121  2"
"8347","      526121  3"
"8348","      529  3  2"
"8349","      529  3  8"
"8350","      529  7  2"
"8351","      529 12  1"
"8352","      529 16  2"
"8353","      529 20  1"
"8354","      529 20  3"
"8355","      529 24  3"
"8356","      529 29  2"
"8357","      529 33  2"
"8358","      529 37  4"
"8359","      529 41  2"
"8360","      529 50  2"
"8361","      529 50  4"
"8362","      529 54  2"
"8363","      529 58  2"
"8364","      529 58  4"
"8365","      529 62  2"
"8366","      529 67  2"
"8367","      529 71  2"
"8368","      529 71  3"
"8369","      529 71  4"
"8370","      529 75  2"
"8371","      529 79  4"
"8372","      529 84  2"
"8373","      529 88  2"
"8374","      529 92  2"
"8375","      529 96  2"
"8376","      529 96  4"
"8377","      529101  5"
"8378","      529105  2"
"8379","      530  2  2"
"8380","      530  6  3"
"8381","      530 11  2"
"8382","      530 11  4"
"8383","      530 11  5"
"8384","      530 15  2"
"8385","      530 20  2"
"8386","      530 20  4"
"8387","      530 25  2"
"8388","      530 25  3"
"8389","      530 25  4"
"8390","      530 29  2"
"8391","      530 29  5"
"8392","      530 34  2"
"8393","      530 38  1"
"8394","      530 38  6"
"8395","      530 43  2"
"8396","      530 43  3"
"8397","      530 43  5"
"8398","      530 43  6"
"8399","      530 48  4"
"8400","      530 48  6"
"8401","      530 52  1"
"8402","      530 52  3"
"8403","      530 57  2"
"8404","      530 61  2"
"8405","      530 66  2"
"8406","      530 66  3"
"8407","      530 66  4"
"8408","      530 71  1"
"8409","      530 71  2"
"8410","      530 71  3"
"8411","      530 71  4"
"8412","      530 75  2"
"8413","      530 80  3"
"8414","      530 84  1"
"8415","      530 89  2"
"8416","      531  3  4"
"8417","      531  3  5"
"8418","      531  7  4"
"8419","      531 11  2"
"8420","      531 15  2"
"8421","      531 20  2"
"8422","      531 20  4"
"8423","      531 20  5"
"8424","      531 28  2"
"8425","      531 28  3"
"8426","      531 32  2"
"8427","      531 32  4"
"8428","      531 37  2"
"8429","      531 37  3"
"8430","      531 37  4"
"8431","      531 37  6"
"8432","      531 41  2"
"8433","      531 45  2"
"8434","      531 49  2"
"8435","      531 54  2"
"8436","      531 66  1"
"8437","      531 66  2"
"8438","      531 66  3"
"8439","      531 71  2"
"8440","      531 71  3"
"8441","      531 79  1"
"8442","      531 79  3"
"8443","      531 83  2"
"8444","      532  2  2"
"8445","      532  2  3"
"8446","      532  6  2"
"8447","      532  9  1"
"8448","      532  9  4"
"8449","      532  9  6"
"8450","      532 13  2"
"8451","      532 16  2"
"8452","      532 24  2"
"8453","      532 31  1"
"8454","      532 34  1"
"8455","      532 34  3"
"8456","      532 34  4"
"8457","      532 38  2"
"8458","      532 49  3"
"8459","      532 52  2"
"8460","      532 56  2"
"8461","      532 59  2"
"8462","      532 63  4"
"8463","      532 70  2"
"8464","      532 70  3"
"8465","      532 77  3"
"8466","      532 77  4"
"8467","      532 77  5"
"8468","      532 77  6"
"8469","      532 84  2"
"8470","      532 88  1"
"8471","      532 92  2"
"8472","      534  1  1"
"8473","      534  1  2"
"8474","      534  1  5"
"8475","      534  7  3"
"8476","      534 18  2"
"8477","      534 18  4"
"8478","      534 24  2"
"8479","      534 24  4"
"8480","      534 35  2"
"8481","      534 35  6"
"8482","      534 40  2"
"8483","      534 46  2"
"8484","      534 57  2"
"8485","      534 62  1"
"8486","      534 68  3"
"8487","      534 68  4"
"8488","      534 73  3"
"8489","      534 84  3"
"8490","      534 84  4"
"8491","      534 84  8"
"8492","      534 84 13"
"8493","      534 84 16"
"8494","      534 84 19"
"8495","      534 90  2"
"8496","      535  5  2"
"8497","      535  5  9"
"8498","      535 14  2"
"8499","      535 50  2"
"8500","      535 59  2"
"8501","      535 77  2"
"8502","      535 86  2"
"8503","      535 95  2"
"8504","      535 95  6"
"8505","      536  6  2"
"8506","      536 16  1"
"8507","      536 23  2"
"8508","      536 23  4"
"8509","      536 23 12"
"8510","      536 29  1"
"8511","      536 36  2"
"8512","      536 39  3"
"8513","      536 39  5"
"8514","      536 42  3"
"8515","      539 11  2"
"8516","      539 14  2"
"8517","      539 14  3"
"8518","      539 14  4"
"8519","      539 14  5"
"8520","      539 22  4"
"8521","      539 26  3"
"8522","      539 26  4"
"8523","      539 33  2"
"8524","      539 33  4"
"8525","      539 44  3"
"8526","      540  5  2"
"8527","      540  9  1"
"8528","      540 14  2"
"8529","      540 18  2"
"8530","      540 23  2"
"8531","      540 28  2"
"8532","      540 28  3"
"8533","      540 28  5"
"8534","      540 32  3"
"8535","      540 32  4"
"8536","      540 37  2"
"8537","      540 42  2"
"8538","      540 42  3"
"8539","      540 46  2"
"8540","      540 46  3"
"8541","      540 51  2"
"8542","      540 56  2"
"8543","      540 60  2"
"8544","      540 65  2"
"8545","      540 74  2"
"8546","      540 79  1"
"8547","      540 79  3"
"8548","      540 83  4"
"8549","      540 83  6"
"8550","      540 88  3"
"8551","      540 93  2"
"8552","      540102  2"
"8553","      541  6  2"
"8554","      541  9  4"
"8555","      541  9  6"
"8556","      541 12  2"
"8557","      541 12  3"
"8558","      541 12  4"
"8559","      541 21  2"
"8560","      541 21  3"
"8561","      541 24  2"
"8562","      541 27  2"
"8563","      541 30  1"
"8564","      541 33  3"
"8565","      541 45  2"
"8566","      541 51  2"
"8567","      541 54  2"
"8568","      541 57  2"
"8569","      541 57  3"
"8570","      541 57  5"
"8571","      541 63  3"
"8572","      541 63  5"
"8573","      541 69  2"
"8574","      541 75  3"
"8575","      541 75  5"
"8576","      541 75  6"
"8577","      541 78  2"
"8578","      541 81  2"
"8579","      541 81  3"
"8580","      541 84  2"
"8581","      541 84  4"
"8582","      541 87  2"
"8583","      541 93  2"
"8584","      541 93  3"
"8585","      541 93  8"
"8586","      541 96  2"
"8587","      541 99  2"
"8588","      541102  1"
"8589","      541105  2"
"8590","      541108  2"
"8591","      544 18  4"
"8592","      544 22  1"
"8593","      544 37  1"
"8594","      544 37  3"
"8595","      544 37  4"
"8596","      544 37  5"
"8597","      544 45  1"
"8598","      544 45  2"
"8599","      544 45  4"
"8600","      544 53  2"
"8601","      544 57  2"
"8602","      544 64  2"
"8603","      545  3  2"
"8604","      545  7  1"
"8605","      545 11  2"
"8606","      545 26  2"
"8607","      545 30  2"
"8608","      545 30  3"
"8609","      545 34  3"
"8610","      545 38  2"
"8611","      545 42  2"
"8612","      545 46  1"
"8613","      545 54  2"
"8614","      545 58  2"
"8615","      545 62  2"
"8616","      545 69  2"
"8617","      545 77  2"
"8618","      545 81  2"
"8619","      545 81  4"
"8620","      545 85  1"
"8621","      545 85  6"
"8622","      546  8  2"
"8623","      546 13  2"
"8624","      546 17  1"
"8625","      546 17  2"
"8626","      546 25  2"
"8627","      546 47  2"
"8628","      546 51  2"
"8629","      546 56  3"
"8630","      546 73  2"
"8631","      546 73  3"
"8632","      546 77  2"
"8633","      546 82  2"
"8634","      546 86  4"
"8635","      547  1  1"
"8636","      547  1  2"
"8637","      547 15  2"
"8638","      547 20  2"
"8639","      547 20  4"
"8640","      547 29  2"
"8641","      547 29  3"
"8642","      547 34  2"
"8643","      547 39  2"
"8644","      547 39  3"
"8645","      547 53  2"
"8646","      547 57  2"
"8647","      547 62  1"
"8648","      547 67  2"
"8649","      547 67  3"
"8650","      549  2  2"
"8651","      549  6  2"
"8652","      549  9  3"
"8653","      549  9  5"
"8654","      549 11  3"
"8655","      549 14  2"
"8656","      549 14  4"
"8657","      549 16  2"
"8658","      549 21  2"
"8659","      549 21  3"
"8660","      549 23  6"
"8661","      549 26  1"
"8662","      549 28  2"
"8663","      549 31  2"
"8664","      549 33  2"
"8665","      550  1  2"
"8666","      550  7  2"
"8667","      550 10  2"
"8668","      550 14  1"
"8669","      550 23  3"
"8670","      550 26  2"
"8671","      550 29  4"
"8672","      550 32  2"
"8673","      550 44  2"
"8674","      550 50  3"
"8675","      550 53  4"
"8676","      551 10  3"
"8677","      551 10  4"
"8678","      551 13  2"
"8679","      551 17  2"
"8680","      551 20  2"
"8681","      551 27  2"
"8682","      551 30  2"
"8683","      551 30  3"
"8684","      551 34  2"
"8685","      551 34  3"
"8686","      551 41  2"
"8687","      551 41  3"
"8688","      551 44  2"
"8689","      551 48  2"
"8690","      551 48  3"
"8691","      551 51  2"
"8692","      551 58  6"
"8693","      554  3  2"
"8694","      554  4  2"
"8695","      554  5  2"
"8696","      554  5  5"
"8697","      554  5  8"
"8698","      554  8  2"
"8699","      554 18  2"
"8700","      554 19  2"
"8701","      554 20  2"
"8702","      554 21  2"
"8703","      554 22  1"
"8704","      554 22  4"
"8705","      554 23  2"
"8706","      554 23  4"
"8707","      554 33  2"
"8708","      554 34  1"
"8709","      554 34  3"
"8710","      554 34  4"
"8711","      554 35  2"
"8712","      554 38  1"
"8713","      554 39  3"
"8714","      554 40  2"
"8715","      554 49  2"
"8716","      554 49  3"
"8717","      554 50  1"
"8718","      554 51  2"
"8719","      554 52  3"
"8720","      554 53  2"
"8721","      554 53  3"
"8722","      554 53  4"
"8723","      554 54  2"
"8724","      554 54  3"
"8725","      554 55  2"
"8726","      554 55  3"
"8727","      554 56  1"
"8728","      554 65  2"
"8729","      554 66  2"
"8730","      554 67  2"
"8731","      554 67  3"
"8732","      554 68  2"
"8733","      554 70  1"
"8734","      554 71  7"
"8735","      554 72  2"
"8736","      555 10  3"
"8737","      555 10  7"
"8738","      555 12  2"
"8739","      555 13  2"
"8740","      555 14  2"
"8741","      555 33  2"
"8742","      555 34  3"
"8743","      555 36  2"
"8744","      555 37  2"
"8745","      555 38  3"
"8746","      555 39  2"
"8747","      555 39  3"
"8748","      555 57  2"
"8749","      555 58  3"
"8750","      555 59  5"
"8751","      555 59  8"
"8752","      555 60  2"
"8753","      555 61  2"
"8754","      555 61  6"
"8755","      556  1  2"
"8756","      556  2  3"
"8757","      556  4  2"
"8758","      556  7  2"
"8759","      556  7  5"
"8760","      556  8  4"
"8761","      556 45  2"
"8762","      556 46  3"
"8763","      556 48  1"
"8764","      556 73  2"
"8765","      556 74  1"
"8766","      556 75  2"
"8767","      556 76  3"
"8768","      556 78  2"
"8769","      556 79  2"
"8770","      556 79  6"
"8771","      556 80  2"
"8772","      556106  3"
"8773","      556107  1"
"8774","      556107  4"
"8775","      556109  2"
"8776","      556109  3"
"8777","      556110  2"
"8778","      556110  3"
"8779","      556111  2"
"8780","      556145  2"
"8781","      556147  2"
"8782","      556149  2"
"8783","      556149  3"
"8784","      556152  1"
"8785","      556152  2"
"8786","      559  2  2"
"8787","      559  3  5"
"8788","      559  4  2"
"8789","      559  4  3"
"8790","      559  5  2"
"8791","      559  6  2"
"8792","      559  7  2"
"8793","      559 17  2"
"8794","      559 19  2"
"8795","      559 19  3"
"8796","      559 19  4"
"8797","      559 21  2"
"8798","      559 21  3"
"8799","      559 22  2"
"8800","      559 23  8"
"8801","      559 33  2"
"8802","      559 35  2"
"8803","      559 36  2"
"8804","      559 37  2"
"8805","      559 38  2"
"8806","      559 39  2"
"8807","      559 40  2"
"8808","      559 53  2"
"8809","      559 53  8"
"8810","      559 54  2"
"8811","      559 55  4"
"8812","      559 65  2"
"8813","      559 66  2"
"8814","      559 68  4"
"8815","      559 69  2"
"8816","      559 70  2"
"8817","      559 70  3"
"8818","      560  9  2"
"8819","      560  9  3"
"8820","      560  9  4"
"8821","      560 10  2"
"8822","      560 11  2"
"8823","      560 12  3"
"8824","      560 12  8"
"8825","      560 13  4"
"8826","      560 14  1"
"8827","      560 15  2"
"8828","      560 16  2"
"8829","      560 16  3"
"8830","      560 73  2"
"8831","      560 73  3"
"8832","      560 74  2"
"8833","      560 75  2"
"8834","      560 75  7"
"8835","      560 77  3"
"8836","      560 78  2"
"8837","      560 79  2"
"8838","      560 80  2"
"8839","      560 80  4"
"8840","      560137  2"
"8841","      560138  2"
"8842","      560138  3"
"8843","      560138  6"
"8844","      560139  2"
"8845","      560140  2"
"8846","      560141  1"
"8847","      560141  2"
"8848","      560141  3"
"8849","      560142  1"
"8850","      560144  3"
"8851","      560144  5"
"8852","      560144  9"
"8853","      560193  2"
"8854","      560194  2"
"8855","      560194  3"
"8856","      560194  5"
"8857","      560194  6"
"8858","      560195  2"
"8859","      560196  4"
"8860","      560196  5"
"8861","      560197  1"
"8862","      560198  2"
"8863","      560199  3"
"8864","      560199  5"
"8865","      560200  2"
"8866","      560257  1"
"8867","      560258  2"
"8868","      560258  6"
"8869","      560259  2"
"8870","      560260  2"
"8871","      560261  2"
"8872","      560263  2"
"8873","      560264  3"
"8874","      561 25  7"
"8875","      561 26  2"
"8876","      561 27  2"
"8877","      561 28  4"
"8878","      561 28  6"
"8879","      561 28  7"
"8880","      561 29  5"
"8881","      561 30  2"
"8882","      561 30  5"
"8883","      561 31  2"
"8884","      561 31  3"
"8885","      561 31  4"
"8886","      561 32  2"
"8887","      561 59  1"
"8888","      561 59  2"
"8889","      561 60  2"
"8890","      561 62  2"
"8891","      561 62  3"
"8892","      561 62  4"
"8893","      561 62  5"
"8894","      561 63  2"
"8895","      561 64  2"
"8896","      561 64  3"
"8897","      561 98  2"
"8898","      561100  2"
"8899","      561100  5"
"8900","      561101  2"
"8901","      561102  2"
"8902","      561103  2"
"8903","      561105  1"
"8904","      562  2  2"
"8905","      562  6  2"
"8906","      562  7  3"
"8907","      562 25  2"
"8908","      562 26  2"
"8909","      562 27  2"
"8910","      562 28  2"
"8911","      562 29  3"
"8912","      562 30  2"
"8913","      562 31  2"
"8914","      562 32  3"
"8915","      562 57  2"
"8916","      562 58  2"
"8917","      562 58  3"
"8918","      562 59  2"
"8919","      562 59  5"
"8920","      562 60  2"
"8921","      562 62  2"
"8922","      562 64  2"
"8923","      562 81  2"
"8924","      562 82  1"
"8925","      562 84  2"
"8926","      562 85  2"
"8927","      562 85  3"
"8928","      562 86  2"
"8929","      564  2  2"
"8930","      564  4  2"
"8931","      564  6  2"
"8932","      564 19  2"
"8933","      564 20  2"
"8934","      564 22  2"
"8935","      564 23  2"
"8936","      564 23  3"
"8937","      564 25  2"
"8938","      564 25  4"
"8939","      564 44  2"
"8940","      564 46  2"
"8941","      564 48  2"
"8942","      564 49  2"
"8943","      564 64  2"
"8944","      564 64  4"
"8945","      564 65  2"
"8946","      565  2  2"
"8947","      565  3  2"
"8948","      565  5  2"
"8949","      565  5  7"
"8950","      565  6  2"
"8951","      565  7  2"
"8952","      565  7  3"
"8953","      565  8  5"
"8954","      565 17  1"
"8955","      565 18  3"
"8956","      565 19  2"
"8957","      565 20  2"
"8958","      565 20  6"
"8959","      565 22  1"
"8960","      565 23  2"
"8961","      565 24  2"
"8962","      565 33  2"
"8963","      565 34  2"
"8964","      565 35  2"
"8965","      565 35  3"
"8966","      565 35  4"
"8967","      565 35  5"
"8968","      565 41  2"
"8969","      565 41  3"
"8970","      565 42  2"
"8971","      565 42  3"
"8972","      565 42  6"
"8973","      565 42  7"
"8974","      565 43  2"
"8975","      565 46  2"
"8976","      565 48  2"
"8977","      565 59  2"
"8978","      565 60  2"
"8979","      565 61  2"
"8980","      565 62  2"
"8981","      565 64  1"
"8982","      565 64  4"
"8983","      566  2  2"
"8984","      566  2  6"
"8985","      566  4  2"
"8986","      566  5  2"
"8987","      566  6  4"
"8988","      566  7  2"
"8989","      566  7  4"
"8990","      566  7  6"
"8991","      566  8  3"
"8992","      566 17  2"
"8993","      566 18  1"
"8994","      566 19  2"
"8995","      566 20  2"
"8996","      566 20  3"
"8997","      566 21  1"
"8998","      566 22  2"
"8999","      566 22  6"
"9000","      566 23  2"
"9001","      566 23  3"
"9002","      566 24  2"
"9003","      566 33  5"
"9004","      566 34  2"
"9005","      566 34  3"
"9006","      566 37  2"
"9007","      566 38  6"
"9008","      566 39  2"
"9009","      566 40  2"
"9010","      566 50  1"
"9011","      566 51  1"
"9012","      566 52  2"
"9013","      566 53  1"
"9014","      566 54  2"
"9015","      566 54  5"
"9016","      566 56  4"
"9017","      566 65  1"
"9018","      566 66  2"
"9019","      566 66  8"
"9020","      566 69  2"
"9021","      566 69  3"
"9022","      566 71  2"
"9023","      566 72  2"
"9024","      569  4  9"
"9025","      569  8  2"
"9026","      569  8  4"
"9027","      569 13  2"
"9028","      569 17  2"
"9029","      569 26  1"
"9030","      569 26  2"
"9031","      569 30  2"
"9032","      569 39  2"
"9033","      569 43  3"
"9034","      569 47  2"
"9035","      569 47  3"
"9036","      569 47  4"
"9037","      569 52  2"
"9038","      569 56  2"
"9039","      569 56  3"
"9040","      569 56  4"
"9041","      569 56  5"
"9042","      569 56  6"
"9043","      569 60  1"
"9044","      569 60  2"
"9045","      569 60  3"
"9046","      569 65  2"
"9047","      569 65  3"
"9048","      570  3  2"
"9049","      570  8  3"
"9050","      570 12  2"
"9051","      570 17  2"
"9052","      570 21  1"
"9053","      570 21  2"
"9054","      570 26  2"
"9055","      570 26  3"
"9056","      570 30  2"
"9057","      570 35  1"
"9058","      570 39  2"
"9059","      570 44  2"
"9060","      570 53  2"
"9061","      570 57  2"
"9062","      570 61  3"
"9063","      570 66  2"
"9064","      570 70  2"
"9065","      570 75  1"
"9066","      570 79  3"
"9067","      570 84  2"
"9068","      570 88  2"
"9069","      570 88  3"
"9070","      570 88  4"
"9071","      570 93  1"
"9072","      570 97  2"
"9073","      570 97  4"
"9074","      570102  3"
"9075","      570106  5"
"9076","      570111  3"
"9077","      570115  1"
"9078","      570115  2"
"9079","      571  3  2"
"9080","      571 12  3"
"9081","      571 17  2"
"9082","      571 17  4"
"9083","      571 22  2"
"9084","      571 22  5"
"9085","      571 26  3"
"9086","      571 31  2"
"9087","      571 45  2"
"9088","      571 50  3"
"9089","      571 59  1"
"9090","      571 59  2"
"9091","      571 64  2"
"9092","      571 64  3"
"9093","      571 69  2"
"9094","      571 69  3"
"9095","      571 78  3"
"9096","      571 78  4"
"9097","      571 78  5"
"9098","      571 83  2"
"9099","      571 92  1"
"9100","      571 92  5"
"9101","      571 92  7"
"9102","      571 92  8"
"9103","      571 97  2"
"9104","      571 97  3"
"9105","      571 97  4"
"9106","      574  3  2"
"9107","      574  3  5"
"9108","      574 13  1"
"9109","      574 13  3"
"9110","      574 26  1"
"9111","      574 26  2"
"9112","      574 26  3"
"9113","      574 40  2"
"9114","      574 45  3"
"9115","      574 49  2"
"9116","      574 49  4"
"9117","      574 54  2"
"9118","      574 58  2"
"9119","      574 58  6"
"9120","      574 68  1"
"9121","      574 77  2"
"9122","      574 81  2"
"9123","      575 12  1"
"9124","      575 12  3"
"9125","      575 16  2"
"9126","      575 16  3"
"9127","      575 20  2"
"9128","      575 24  2"
"9129","      575 32  2"
"9130","      575 36  2"
"9131","      575 36  3"
"9132","      575 39  1"
"9133","      575 43  2"
"9134","      575 43  4"
"9135","      575 47  6"
"9136","      575 55  2"
"9137","      575 55  4"
"9138","      575 59  5"
"9139","      575 63  2"
"9140","      575 67  2"
"9141","      575 71  2"
"9142","      575 75  1"
"9143","      575 83  2"
"9144","      575 87  1"
"9145","      576  6  2"
"9146","      576 15  1"
"9147","      576 19  2"
"9148","      576 28  2"
"9149","      576 28  5"
"9150","      576 45  1"
"9151","      576 50  2"
"9152","      576 50  4"
"9153","      576 58  2"
"9154","      576 58  3"
"9155","      576 63  2"
"9156","      576 67  1"
"9157","      576 67  2"
"9158","      576 71  2"
"9159","      576 76  3"
"9160","      576 76  4"
"9161","      576 76  7"
"9162","      576 89  1"
"9163","      576 89  3"
"9164","      576 89  4"
"9165","      576 93  2"
"9166","      576 97  2"
"9167","      576102  4"
"9168","      576106  1"
"9169","      576106  3"
"9170","      576106  4"
"9171","      576110  4"
"9172","      579  7  4"
"9173","      579  7  5"
"9174","      579 12  1"
"9175","      579 30  2"
"9176","      579 30  7"
"9177","      579 34  2"
"9178","      579 34  5"
"9179","      579 43  4"
"9180","      579 48  3"
"9181","      579 48  6"
"9182","      579 52  2"
"9183","      579 52  3"
"9184","      579 52  4"
"9185","      579 57  2"
"9186","      579 57  6"
"9187","      579 61  3"
"9188","      579 66  3"
"9189","      579 75  1"
"9190","      579 75  2"
"9191","      579 79  2"
"9192","      579 79  3"
"9193","      580  4  2"
"9194","      580  8  1"
"9195","      580 17  1"
"9196","      580 21  2"
"9197","      580 26  2"
"9198","      580 26  4"
"9199","      580 26  7"
"9200","      580 30  2"
"9201","      580 44  2"
"9202","      580 48  4"
"9203","      580 52  6"
"9204","      580 52  7"
"9205","      580 57  2"
"9206","      580 61  1"
"9207","      580 61  2"
"9208","      580 61  3"
"9209","      580 66  2"
"9210","      580 70  2"
"9211","      580 75  2"
"9212","      580 79  2"
"9213","      580 83  3"
"9214","      581  2  2"
"9215","      581  2  6"
"9216","      581  6  1"
"9217","      581  6  2"
"9218","      581  9  6"
"9219","      581 13  2"
"9220","      581 13  3"
"9221","      581 13  9"
"9222","      581 17  2"
"9223","      581 20  2"
"9224","      581 24  2"
"9225","      581 28  2"
"9226","      581 31  2"
"9227","      581 35  2"
"9228","      581 39  1"
"9229","      581 42  4"
"9230","      581 46  2"
"9231","      581 50  1"
"9232","      581 50  3"
"9233","      581 53  1"
"9234","      581 57  2"
"9235","      581 61  2"
"9236","      581 65  1"
"9237","      582  4  2"
"9238","      582  4  3"
"9239","      582  4  5"
"9240","      582  4  6"
"9241","      582  8  3"
"9242","      582  8  6"
"9243","      582 13  2"
"9244","      582 13  4"
"9245","      582 13  6"
"9246","      582 18  2"
"9247","      582 18  4"
"9248","      582 33  5"
"9249","      582 33  6"
"9250","      582 37  1"
"9251","      582 37  2"
"9252","      582 52  4"
"9253","      582 57  1"
"9254","      582 66  3"
"9255","      582 71  2"
"9256","      582 81  3"
"9257","      582 85  2"
"9258","      582 95  2"
"9259","      582105  1"
"9260","      582109  2"
"9261","      582114  2"
"9262","      582119  2"
"9263","      582119  6"
"9264","      584  4  2"
"9265","      584 13  4"
"9266","      584 18  2"
"9267","      584 23  2"
"9268","      584 28  3"
"9269","      584 32  2"
"9270","      584 37  2"
"9271","      584 42  3"
"9272","      584 47  2"
"9273","      584 52  3"
"9274","      584 56  2"
"9275","      584 56  3"
"9276","      584 61  7"
"9277","      584 61  8"
"9278","      584 66  2"
"9279","      584 71  2"
"9280","      584 76  3"
"9281","      584 76  5"
"9282","      584 90  5"
"9283","      584 90  7"
"9284","      584 95  3"
"9285","      584100  2"
"9286","      584100  4"
"9287","      585  3  1"
"9288","      585 13  2"
"9289","      585 17  2"
"9290","      585 27  2"
"9291","      585 31  2"
"9292","      585 36  3"
"9293","      585 45  3"
"9294","      585 45  4"
"9295","      585 45  5"
"9296","      585 55  2"
"9297","      585 59  2"
"9298","      585 64  2"
"9299","      585 69  1"
"9300","      585 69  2"
"9301","      585 73  2"
"9302","      585 73  4"
"9303","      585 78  4"
"9304","      585 83  2"
"9305","      585 83  3"
"9306","      585 92  2"
"9307","      585101  2"
"9308","      586  8  2"
"9309","      586 23  1"
"9310","      586 26  2"
"9311","      586 29  1"
"9312","      586 32  2"
"9313","      586 32  4"
"9314","      586 38  3"
"9315","      586 41  2"
"9316","      586 41  3"
"9317","      586 46  2"
"9318","      586 52  2"
"9319","      589  6  3"
"9320","      589  6  5"
"9321","      589 10  2"
"9322","      589 10  5"
"9323","      589 15  2"
"9324","      589 23  2"
"9325","      589 27  2"
"9326","      589 31  3"
"9327","      589 31  6"
"9328","      589 35  3"
"9329","      589 39  3"
"9330","      589 39  9"
"9331","      589 44  1"
"9332","      589 48  1"
"9333","      589 48  3"
"9334","      589 48  4"
"9335","      589 52  2"
"9336","      589 56  2"
"9337","      589 56  4"
"9338","      589 60  2"
"9339","      589 64  2"
"9340","      589 69  2"
"9341","      589 69  3"
"9342","      589 77  3"
"9343","      589 77  6"
"9344","      589 81  1"
"9345","      589 81  2"
"9346","      589 85  2"
"9347","      589 85  5"
"9348","      589 94  2"
"9349","      589 94  4"
"9350","      589 94  5"
"9351","      589 98  1"
"9352","      589102  3"
"9353","      590  2  2"
"9354","      590  7  2"
"9355","      590 11  2"
"9356","      590 20  2"
"9357","      590 25  2"
"9358","      590 25  3"
"9359","      590 29  4"
"9360","      590 34  1"
"9361","      590 43  5"
"9362","      590 47  2"
"9363","      590 52  2"
"9364","      590 57  2"
"9365","      590 57  4"
"9366","      590 57  5"
"9367","      590 61  2"
"9368","      590 61  9"
"9369","      590 66  2"
"9370","      590 70  2"
"9371","      590 70  3"
"9372","      590 70  4"
"9373","      590 75  2"
"9374","      590 75  3"
"9375","      590 79  2"
"9376","      590 79  3"
"9377","      590 84  2"
"9378","      590 88  2"
"9379","      590 93  2"
"9380","      590 97  2"
"9381","      590 97  8"
"9382","      590102  3"
"9383","      590102  4"
"9384","      590106  3"
"9385","      590111  3"
"9386","      590111  4"
"9387","      591  5  2"
"9388","      591 14  2"
"9389","      591 19  1"
"9390","      591 22  2"
"9391","      591 25  2"
"9392","      591 25  3"
"9393","      591 27  2"
"9394","      591 27  3"
"9395","      591 30  2"
"9396","      591 30  3"
"9397","      591 33  2"
"9398","      591 36  4"
"9399","      591 44  4"
"9400","      591 44  5"
"9401","      591 44  7"
"9402","      591 47  2"
"9403","      591 47  6"
"9404","      591 49  2"
"9405","      591 52  2"
"9406","      591 52  4"
"9407","      591 55  3"
"9408","      591 55  4"
"9409","      591 58  2"
"9410","      591 60  2"
"9411","      591 66  3"
"9412","      591 69  4"
"9413","      591 71  2"
"9414","      591 71  6"
"9415","      591 71  8"
"9416","      591 74  2"
"9417","      591 77  1"
"9418","      591 82  1"
"9419","      591 82  2"
"9420","      591 85  2"
"9421","      591 88  2"
"9422","      591 93  3"
"9423","      591 96  1"
"9424","      591 99  2"
"9425","      591 99  4"
"9426","      591102  2"
"9427","      591102  3"
"9428","      591104  2"
"9429","      591107  2"
"9430","      591107  5"
"9431","      591110  2"
"9432","      591110  4"
"9433","      594  1  2"
"9434","      594  1  3"
"9435","      594 11  2"
"9436","      594 17  2"
"9437","      594 21  5"
"9438","      594 30  2"
"9439","      594 34  2"
"9440","      594 40  2"
"9441","      594 43  2"
"9442","      594 47  3"
"9443","      594 53  2"
"9444","      594 56  1"
"9445","      594 56  3"
"9446","      594 59  4"
"9447","      594 63  2"
"9448","      594 63  3"
"9449","      594 63  5"
"9450","      594 66  2"
"9451","      594 72  4"
"9452","      594 79  2"
"9453","      594 79  4"
"9454","      595  2  2"
"9455","      595  6  1"
"9456","      595  6  2"
"9457","      595 10  2"
"9458","      595 10  3"
"9459","      595 14  2"
"9460","      595 14  3"
"9461","      595 22  2"
"9462","      595 26  2"
"9463","      595 30  1"
"9464","      595 42  3"
"9465","      595 42  6"
"9466","      595 42 11"
"9467","      595 46  2"
"9468","      595 46  6"
"9469","      595 58  2"
"9470","      595 62  1"
"9471","      595 62  2"
"9472","      595 62  4"
"9473","      595 66  3"
"9474","      595 70  2"
"9475","      595 74  3"
"9476","      595 78  2"
"9477","      596 15  2"
"9478","      596 25  2"
"9479","      596 45  2"
"9480","      596 55  1"
"9481","      596 55  3"
"9482","      596 55  4"
"9483","      596 55  5"
"9484","      596 65  2"
"9485","      596 70  2"
"9486","      596 81  1"
"9487","      596 81  3"
"9488","      596 91  2"
"9489","      596 96  3"
"9490","      596101  3"
"9491","      596106  2"
"9492","      596106  3"
"9493","      596106  5"
"9494","      596106  6"
"9495","      597  2  2"
"9496","      597  2  3"
"9497","      597  2  4"
"9498","      597  5  5"
"9499","      597  5  6"
"9500","      597  5  9"
"9501","      597 12  1"
"9502","      597 18  2"
"9503","      597 22  2"
"9504","      597 25  2"
"9505","      597 28  3"
"9506","      597 31  2"
"9507","      597 35  1"
"9508","      597 38  2"
"9509","      597 41  3"
"9510","      597 41  4"
"9511","      597 41  7"
"9512","      597 44  3"
"9513","      597 54  2"
"9514","      597 58  2"
"9515","      597 67  2"
"9516","      597 67  4"
