variable,label
ch_pneumo1_card__Yes,Pneumococcal 1st dose vaccination according to card (Yes)
ch_pneumo2_card__Yes,Pneumococcal 2nd dose vaccination according to card (Yes)
ch_pneumo3_card__Yes,Pneumococcal 3rd dose vaccination according to card (Yes)
ch_rotav1_either__Yes,Rotavirus 1st dose vaccination according to either source (Yes)
ch_rotav2_either__Yes,Rotavirus 2nd dose vaccination according to either source (Yes)
ch_rotav3_either__Yes,Rotavirus 3rd dose vaccination according to either source (Yes)
ch_rotav1_moth__Yes,Rotavirus 1st dose vaccination according to mother (Yes)
ch_rotav2_moth__Yes,Rotavirus 2nd dose vaccination according to mother (Yes)
ch_rotav3_moth__Yes,Rotavirus 3rd dose vaccination according to mother (Yes)
ch_rotav1_card__Yes,Rotavirus 1st dose vaccination according to card (Yes)
ch_rotav2_card__Yes,Rotavirus 2nd dose vaccination according to card (Yes)
ch_rotav3_card__Yes,Rotavirus 3rd dose vaccination according to card (Yes)
ch_meas_either__Yes,Measles vaccination according to either source (Yes)
ch_meas_moth__Yes,Measles vaccination according to mother (Yes)
ch_meas_card__Yes,Measles vaccination according to card (Yes)
ch_allvac_either__Yes,All basic vaccinations according to either source (Yes)
ch_allvac_moth__Yes,All basic vaccinations according to mother (Yes)
ch_allvac_card__Yes,All basic vaccinations according to card (Yes)
ch_novac_either__Yes,No vaccinations according to either source (Yes)
ch_novac_moth__Yes,No vaccinations according to mother (Yes)
ch_novac_card__Yes,No vaccinations according to card (Yes)
ch_card_ever_had__Yes,Ever had a vaccination card (Yes)
ch_card_seen__Yes,Vaccination card seen (Yes)
ch_report_bw__Yes,Has a reported birth weight (Yes)
ch_below_2p5__Yes,Birth weight less than 2.5 kg (Yes)
ch_ari__Yes,ARI symptoms in the 2 weeks before the survey (Yes)
ch_ari_care__Yes,Advice or treatment sought for ARI symptoms (Yes)
ch_ari_care_day__Yes,Advice or treatment sought for ARI symptoms on the same or next day (Yes)
ch_ari_govh__Yes,ARI treatment sought from government hospital among children with ARI (Yes)
ch_ari_govh_trt__Yes,ARI treatment sought from government hospital among children with ARI that sought treatment (Yes)
ch_ari_govcent__Yes,ARI treatment sought from government health center among children with ARI (Yes)
ch_ari_govcent_trt__Yes,ARI treatment sought from government health center among children with ARI that sought treatment (Yes)
ch_ari_pclinc__Yes,ARI treatment sought from private hospital/clinic among children with ARI (Yes)
ch_ari_pclinc_trt__Yes,ARI treatment sought from private hospital/clinic among children with ARI that sought treatment (Yes)
ch_ari_pdoc__Yes,ARI treatment sought from private doctor  among children with ARI (Yes)
ch_ari_pdoc_trt__Yes,ARI treatment sought from private doctor among children with ARI that sought treatment (Yes)
ch_ari_pharm__Yes,ARI treatment sought from a pharmacy among children with ARI (Yes)
ch_ari_pharm_trt__Yes,ARI treatment sought from a pharmacy among children with ARI that sought treatment (Yes)
ch_fever__Yes,Fever symptoms in the 2 weeks before the survey (Yes)
